Country Name,Country Code,Series Name,2015 [YR2015]
"Bahamas, The",BHS,GDP (current US$),8884441432
"Bahamas, The",BHS,GDP growth (annual %),1.2204836
"Bahamas, The",BHS,GDP per capita (current US$),22896.92369
"Bahamas, The",BHS,"Population, total",388019
"Bahamas, The",BHS,Surface area (sq. km),13880
Bahrain,BHR,CO2 emissions (kg per PPP $ of GDP),..
Bahrain,BHR,CO2 emissions (kt),..
Bahrain,BHR,CO2 emissions (metric tons per capita),..
Bahrain,BHR,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Bahrain,BHR,CO2 emissions from gaseous fuel consumption (% of total),..
Bahrain,BHR,GDP (current US$),32221489362
Bahrain,BHR,GDP growth (annual %),2.926567217
Bahrain,BHR,GDP per capita (current US$),23395.74769
Bahrain,BHR,"Population, total",1377237
Bahrain,BHR,Surface area (sq. km),770
Bangladesh,BGD,CO2 emissions (kg per PPP $ of GDP),..
Bangladesh,BGD,CO2 emissions (kt),..
Bangladesh,BGD,CO2 emissions (metric tons per capita),..
Bangladesh,BGD,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Bangladesh,BGD,CO2 emissions from gaseous fuel consumption (% of total),..
Bangladesh,BGD,GDP (current US$),1.95E+11
Bangladesh,BGD,GDP growth (annual %),6.552633316
Bangladesh,BGD,GDP per capita (current US$),1211.701531
Bangladesh,BGD,"Population, total",160995642
Bangladesh,BGD,Surface area (sq. km),148460
Barbados,BRB,CO2 emissions (kg per PPP $ of GDP),..
Barbados,BRB,CO2 emissions (kt),..
Barbados,BRB,CO2 emissions (metric tons per capita),..
Barbados,BRB,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Barbados,BRB,CO2 emissions from gaseous fuel consumption (% of total),..
Barbados,BRB,GDP (current US$),4451000000
Barbados,BRB,GDP growth (annual %),0.99009901
Barbados,BRB,GDP per capita (current US$),15660.67942
Barbados,BRB,"Population, total",284215
Barbados,BRB,Surface area (sq. km),430
Belarus,BLR,CO2 emissions (kg per PPP $ of GDP),..
Belarus,BLR,CO2 emissions (kt),..
Belarus,BLR,CO2 emissions (metric tons per capita),..
Belarus,BLR,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Belarus,BLR,CO2 emissions from gaseous fuel consumption (% of total),..
Belarus,BLR,GDP (current US$),54608962635
Belarus,BLR,GDP growth (annual %),-3.887698502
Belarus,BLR,GDP per capita (current US$),5740.456495
Belarus,BLR,"Population, total",9513000
Belarus,BLR,Surface area (sq. km),207600
Belgium,BEL,CO2 emissions (kg per PPP $ of GDP),..
Belgium,BEL,CO2 emissions (kt),..
Belgium,BEL,CO2 emissions (metric tons per capita),..
