,All Causes,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Tuberculosis,STDs excluding HIV,Syphilis,Chlamydia,Gonorrhoea,Trichomoniasis,Genital herpes,Other STDs,HIV/AIDS,Diarrhoeal diseases,Childhood-cluster diseases,Whooping cough,Diphtheria,Measles,Tetanus,Meningitis,Encephalitis,Hepatitis,Acute hepatitis A,Acute hepatitis B,Acute hepatitis C,Acute hepatitis E,Parasitic and vector diseases,Malaria,African Trypanosomiasis,Chagas disease,Schistosomiasis,Leishmaniasis,lymphatic filariasis,Onchocerciasis,Cysticercosis,Echinococcosis,Dengue,Trachoma,Yellow fever,Rabies,Intestinal nematode infections,Ascariasis,Trichuriasis,Hookworm disease,Food-bourne trematodes,Leprosy,Other infectious diseases,Respiratory Infectious ,Lower respiratory infections,Upper respiratory infections,Otitis media,Maternal conditions,Neonatal conditions,Preterm birth complications,Birth asphyxia and birth trauma,Neonatal sepsis and infections,Other neonatal conditions,Nutritional deficiencies,Protein-energy malnutrition,Iodine deficiency,Vitamin A deficiency,Iron-deficiency anaemia,Other nutritional deficiencies,Noncommunicable diseases,Malignant neoplasms,Mouth and oropharynx cancers,Lip and oral cavity,Nasopharynx,Other pharynx,Oesophagus cancer,Stomach cancer,Colon and rectum cancers,Liver cancer,Liver cancer secondary to hepatitis B,Liver cancer secondary to hepatitis C,Liver cancer secondary to alcohol use,Other liver cancer,Pancreas cancer,"Trachea, bronchus, lung cancers",Melanoma and other skin cancers,Malignant skin melanoma,Non-melanoma skin cancer,Breast cancer,Cervix uteri cancer,Corpus uteri cancer,Ovary cancer,Prostate cancer,Testicular cancer,Kidney cancer,Bladder cancer,Brain and nervous system cancers,Gallbladder and biliary tract cancer,Larynx cancer,Thyroid cancer,Mesothelioma,"Lymphomas, multiple myeloma",Hodgkin lymphoma,Non-Hodgkin lymphoma,Multiple myeloma,Leukaemia,,Other neoplasms,Diabetes mellitus,"Endocrine, blood, immune disorders",Thalassaemias,Sickle cell disorders and trait,Other haemoglobinopathies and haemolytic anaemias,"Other endocrine, blood and immune disorders",Mental and substance use disorders,Depressive disorders,Major depressive disorder,Dysthymia,Bipolar disorder,Schizophrenia,Alcohol use disorders,Drug use disorders,Opioid use disorders,Cocaine use disorders,Amphetamine use disorders,Cannabis use disorders,Other drug use disorders,Anxiety disorders,Eating disorders,Autism and Asperger syndrome,Childhood behavioural disorders,Attention deficit/hyperactivity syndrome,Conduct disorder,Idiopathic intellectual disability,Other mental and behavioural disorders,Neurological conditions,Alzheimer disease and other dementias,Parkinson disease,Epilepsy,Multiple sclerosis,Migraine,Non-migraine headache,Other neurological conditions,Sense organ diseases,Cardiovascular diseases,Rheumatic heart disease,Hypertensive heart disease,Ischaemic heart disease,Stroke,Ischaemic stroke,Haemorrhagic stroke,"Cardiomyopathy, myocarditis, endocarditis",Other circulatory diseases,Respiratory diseases,Chronic obstructive pulmonary disease,Asthma,Other respiratory diseases,Digestive diseases,Peptic ulcer disease,Cirrhosis of the liver,Cirrhosis due to hepatitis B,Cirrhosis due to hepatitis C,Cirrhosis due to alcohol use,Other liver cirrhosis,Appendicitis,Gastritis and duodenitis,Paralytic ileus and intestinal obstruction,Inflammatory bowel disease,Gallbladder and biliary diseases,Pancreatitis,Other digestive diseases,Genitourinary diseases,Kidney diseases,Acute glomerulonephritis,Chronic kidney disease due to diabetes,Other chronic kidney disease,Benign prostatic hyperplasia,Urolithiasis,Other urinary diseases,Infertility,Gynecological diseases,Skin diseases,Musculoskeletal diseases,Rheumatoid arthritis,Osteoarthritis,Gout,Back and neck pain,Other musculoskeletal disorders,Congenital anomalies,Neural tube defects,Cleft lip and cleft palate,Down syndrome,Congenital heart anomalies,Other chromosomal anomalies,Other congenital anomalies,Oral conditions,Sudden infant death syndrome,Injuries,Unintentional injuries,Road injury,Poisonings,Falls,"Fire, heat and hot substances",Drowning,Exposure to mechanical forces,Natural disasters,Other unintentional injuries,Intentional injuries,Self-harm,Interpersonal violence,Collective violence and legal intervention
BHS,2.5,0.4,0.3,0.0,0.0,0.0,0.0,0.0,.,.,0.0,0.2,0.0,0.0,.,0.0,.,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,.,.,.,.,.,.,0.0,0.0,0.0,.,.,.,.,.,.,.,.,.,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,1.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,.,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,0.1,0.0,0.0,0.0,0.0,.,.,0.0,.,0.8,0.0,0.1,0.4,0.2,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,.,0.0,0.0,.,0.0,0.0,0.0,0.0,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.1,0.0,0.1,.
BHR,3.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,.,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,.,.,.,.,.,.,0.0,0.0,.,.,.,.,.,.,.,.,.,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,2.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,.,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,0.2,0.2,0.0,0.0,0.0,.,.,0.0,.,1.0,0.0,0.0,0.7,0.2,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.1,.,0.0,0.0,.,0.0,0.0,0.0,0.0,.,.,.,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,.,0.0,0.1,0.1,0.0,.
BGD,867.3,219.0,117.9,69.1,2.6,2.5,0.0,0.0,.,.,0.0,0.9,20.0,1.4,0.6,0.0,0.0,0.8,1.8,1.9,2.9,0.1,1.9,0.1,0.9,2.5,0.0,.,.,.,1.0,.,.,0.3,0.0,0.1,.,.,1.0,0.1,0.0,.,.,0.1,0.3,14.5,30.5,30.4,0.1,0.1,4.5,59.8,23.6,17.8,14.8,3.6,6.3,5.0,0.0,.,0.2,1.0,580.3,96.1,15.0,6.1,0.3,8.6,13.0,6.1,3.4,2.9,1.3,0.9,0.3,0.4,0.8,12.1,0.3,0.1,0.2,7.7,6.7,0.4,2.3,0.7,0.2,0.8,1.0,1.0,4.5,1.9,0.3,0.1,2.7,0.4,1.8,0.6,2.0,9.9,1.8,40.1,3.5,0.4,0.9,1.0,1.2,2.9,.,.,.,.,0.0,0.5,2.4,1.7,0.0,0.0,.,0.7,.,0.0,.,.,.,.,.,.,16.9,9.9,0.5,5.7,0.1,.,.,0.6,.,256.5,2.5,9.4,112.8,128.2,59.5,68.6,0.9,2.7,82.5,68.5,11.8,2.2,41.1,6.4,22.3,10.7,6.7,2.0,3.0,1.1,0.7,3.9,0.6,1.0,1.5,3.5,20.3,15.3,0.1,3.9,11.3,.,0.5,4.3,.,0.2,3.1,1.1,0.5,.,.,.,0.6,13.9,0.4,0.0,0.6,6.5,0.5,5.9,.,0.5,68.0,54.4,20.7,0.5,6.0,1.7,19.1,1.3,0.0,5.1,13.5,8.9,4.6,0.0
BRB,3.1,0.4,0.1,0.0,0.0,0.0,0.0,0.0,.,.,0.0,0.0,0.0,0.0,.,0.0,.,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,.,.,.,.,.,.,0.0,0.0,0.0,.,.,.,.,.,.,.,.,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,2.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.2,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.1,0.0,.,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,0.1,0.1,0.0,0.0,0.0,.,.,0.0,.,1.0,0.0,0.1,0.4,0.3,0.2,0.2,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,.,0.0,0.1,.,0.0,0.0,0.0,0.0,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,.,0.1,0.0,0.0,0.0,.
BLR,128.9,3.1,2.2,0.9,0.0,0.0,0.0,0.0,.,.,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,.,0.0,.,.,.,.,.,.,.,0.0,0.0,.,.,.,0.0,.,.,.,.,.,.,0.0,0.7,0.7,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,114.9,19.9,1.0,0.6,0.0,0.3,0.5,2.4,2.8,0.4,0.1,0.1,0.3,0.0,0.8,3.4,0.3,0.2,0.1,1.4,0.4,0.4,0.5,0.9,0.0,0.6,0.4,0.4,0.1,0.3,0.1,0.1,0.6,0.1,0.3,0.2,0.7,1.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2.3,.,.,.,.,0.0,1.0,1.3,1.0,0.1,0.2,.,0.1,.,0.0,.,.,.,.,.,.,4.4,4.0,0.1,0.1,0.0,.,.,0.2,.,84.6,0.4,0.9,60.3,19.7,14.5,5.2,2.0,1.3,1.7,1.5,0.1,0.1,0.2,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.1,0.5,.,0.0,0.3,.,0.0,0.0,0.0,0.0,.,.,.,0.0,0.4,0.0,0.0,0.0,0.2,0.0,0.2,.,0.0,10.9,8.1,1.2,0.3,2.2,1.0,1.3,0.3,.,1.8,2.8,2.2,0.6,.
BEL,109.7,8.3,1.6,0.1,0.0,0.0,0.0,0.0,.,.,0.0,0.1,0.4,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,.,.,.,.,.,.,0.0,.,.,.,.,.,.,.,.,.,.,.,1.0,6.2,6.1,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.1,0.4,0.2,0.0,.,0.1,0.0,94.3,29.2,0.7,0.3,0.0,0.3,0.8,0.9,3.5,0.9,0.2,0.3,0.4,0.0,1.7,7.0,0.5,0.4,0.1,2.7,0.2,0.4,0.7,1.7,0.0,0.7,1.1,0.8,0.2,0.2,0.1,0.3,1.5,0.0,0.8,0.6,1.1,1.5,1.5,1.8,1.5,0.0,0.0,0.4,1.1,0.7,.,.,.,.,0.0,0.4,0.2,0.2,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,11.0,8.2,1.2,0.4,0.1,.,.,1.1,.,30.5,0.3,0.6,15.2,7.2,3.6,3.6,1.0,6.2,8.7,6.7,0.1,1.8,5.2,0.2,1.4,0.2,0.3,0.9,0.1,0.0,0.0,0.4,0.2,0.3,0.2,2.3,3.1,2.3,0.0,0.9,1.4,.,0.0,0.8,.,0.0,0.3,0.5,0.1,.,.,.,0.5,0.3,0.0,0.0,0.1,0.1,0.0,0.1,.,0.0,7.1,4.7,0.8,0.1,1.6,0.1,0.1,0.1,.,2.0,2.4,2.3,0.1,.
BLZ,2.1,0.4,0.2,0.0,0.0,0.0,.,.,.,.,.,0.1,0.0,0.0,.,0.0,.,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,.,0.0,.,.,.,.,0.0,0.0,0.0,.,.,.,0.0,0.0,.,.,.,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,1.4,0.2,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,.,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,0.0,0.0,0.0,0.0,0.0,.,.,0.0,.,0.5,0.0,0.1,0.2,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,.,0.0,0.0,.,0.0,0.0,0.0,0.0,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,.,0.0,0.2,0.0,0.1,.
BEN,98.6,51.6,22.5,1.0,0.5,0.5,0.0,0.0,.,.,0.0,2.2,6.9,0.9,0.4,0.0,0.3,0.2,2.7,0.2,0.4,0.0,0.2,0.0,0.1,6.6,6.0,.,.,0.4,.,.,.,0.1,0.0,0.0,.,0.1,0.0,0.0,0.0,.,.,.,0.1,1.0,12.2,12.2,0.0,0.0,1.6,11.5,4.8,3.5,2.6,0.6,3.8,3.5,0.0,.,0.2,0.0,36.8,3.8,0.1,0.1,0.0,0.0,0.0,0.1,0.2,0.6,0.3,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.6,0.4,0.0,0.1,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.1,0.5,0.2,1.9,1.7,0.0,1.4,0.1,0.2,0.4,.,.,.,.,0.0,0.2,0.2,0.2,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,1.1,0.6,0.0,0.4,0.0,.,.,0.1,.,15.2,0.3,0.6,6.4,6.3,2.5,3.9,0.4,1.2,2.5,1.3,0.9,0.3,5.3,0.5,3.1,1.3,0.3,1.0,0.5,0.2,0.2,0.6,0.1,0.2,0.2,0.4,1.9,1.3,0.0,0.2,1.2,.,0.0,0.6,.,0.0,0.2,0.1,0.0,.,.,.,0.1,2.4,0.6,0.0,0.1,1.1,0.1,0.6,.,0.1,10.3,8.6,3.0,0.4,0.8,0.6,1.0,0.8,.,2.0,1.7,1.0,0.7,.
BTN,4.8,1.1,0.6,0.1,0.0,0.0,0.0,0.0,.,.,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,.,.,.,0.0,.,.,0.0,0.0,0.0,.,.,0.0,0.0,0.0,.,.,.,0.0,0.1,0.3,0.3,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,3.3,0.4,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,.,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,0.1,0.1,0.0,0.0,0.0,.,.,0.0,.,1.3,0.1,0.1,0.8,0.4,0.1,0.2,0.0,0.0,0.5,0.4,0.1,0.0,0.3,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.1,.,0.0,0.0,.,0.0,0.0,0.0,0.0,.,.,.,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,.,0.0,0.5,0.4,0.1,0.0,0.1,0.0,0.0,0.0,.,0.1,0.1,0.1,0.0,.
BOL,72.2,16.7,3.8,0.4,0.2,0.2,0.0,0.0,.,.,0.0,0.8,0.9,0.3,0.3,0.0,0.0,0.0,0.4,0.1,0.1,0.0,0.1,0.0,.,0.5,0.0,.,0.4,.,0.0,.,.,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,.,.,.,0.0,0.1,7.3,7.3,0.0,0.0,0.5,4.1,1.8,1.4,0.6,0.3,1.1,1.1,0.0,.,0.0,0.0,44.6,7.7,0.2,0.1,0.0,0.0,0.1,0.6,0.5,0.3,0.2,0.0,0.1,0.0,0.2,0.4,0.2,0.1,0.1,0.3,0.9,0.0,0.2,0.6,0.0,0.2,0.1,0.2,0.6,0.0,0.1,0.0,0.3,0.0,0.2,0.1,0.3,1.5,0.2,1.7,0.3,0.0,0.0,0.1,0.2,0.6,.,.,.,.,0.0,0.4,0.2,0.1,0.1,0.0,.,0.1,.,0.0,.,.,.,.,.,.,2.1,1.7,0.0,0.2,0.0,.,.,0.1,.,16.3,0.3,0.3,7.9,5.5,2.6,2.9,0.7,1.5,2.4,1.6,0.1,0.7,6.9,0.3,4.6,2.3,0.4,1.2,0.7,0.1,0.0,0.7,0.0,0.2,0.4,0.5,4.3,3.9,0.0,2.0,1.9,.,0.0,0.4,.,0.0,0.2,0.2,0.0,.,.,.,0.1,1.7,0.2,0.0,0.1,0.7,0.0,0.7,.,0.0,10.8,7.4,2.5,0.5,0.5,0.4,0.9,0.9,.,1.7,3.5,2.0,1.5,.
BIH,39.5,0.8,0.2,0.1,0.0,0.0,0.0,0.0,.,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,.,.,.,0.0,.,.,0.0,0.0,.,.,.,.,.,.,.,.,.,.,0.0,0.5,0.5,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,37.0,7.1,0.1,0.0,0.0,0.0,0.1,0.5,0.8,0.5,0.1,0.2,0.1,0.0,0.4,1.8,0.1,0.1,0.0,0.4,0.1,0.1,0.2,0.4,0.0,0.1,0.2,0.2,0.1,0.2,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.5,0.1,2.3,0.1,0.0,0.0,0.0,0.1,0.2,.,.,.,.,0.0,0.1,0.0,0.0,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,2.3,1.9,0.2,0.1,0.0,.,.,0.0,.,21.4,0.1,0.3,8.5,7.2,5.7,1.5,4.0,1.2,1.5,1.3,0.1,0.1,1.2,0.1,0.6,0.2,0.2,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.8,0.7,0.0,0.2,0.5,.,0.0,0.1,.,0.0,0.0,0.0,0.0,.,.,.,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,1.7,1.4,0.6,0.1,0.2,0.0,0.0,0.1,.,0.4,0.3,0.2,0.1,0.0
BWA,15.8,7.8,5.3,0.6,0.0,0.0,0.0,0.0,.,.,0.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,.,0.0,.,.,.,0.0,0.0,.,.,.,.,0.0,0.0,.,.,.,0.0,0.1,1.2,1.2,0.0,0.0,0.1,1.1,0.5,0.3,0.2,0.1,0.1,0.1,0.0,.,0.0,0.0,6.7,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.3,0.0,0.8,0.1,0.0,0.0,0.0,0.1,0.1,.,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,0.3,0.1,0.0,0.1,0.0,.,.,0.0,.,2.8,0.0,0.3,1.1,1.0,0.5,0.5,0.1,0.1,0.6,0.4,0.2,0.0,0.4,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.2,.,0.0,0.0,.,0.0,0.1,0.0,0.0,.,.,.,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.1,.,0.0,1.3,0.9,0.5,0.0,0.0,0.1,0.1,0.1,.,0.1,0.5,0.2,0.2,.
BRA,1266.6,176.0,53.5,5.8,0.4,0.4,0.0,0.0,.,.,0.0,14.3,5.4,0.2,0.1,0.0,0.0,0.1,1.8,0.4,1.1,0.1,0.9,0.1,.,7.1,0.1,.,5.4,0.6,0.4,.,.,0.2,0.0,0.6,.,0.0,0.0,0.0,0.0,.,.,.,1.5,15.3,86.2,85.9,0.2,0.1,1.4,24.1,9.9,4.9,4.1,5.3,10.9,7.9,0.0,.,2.3,0.6,928.2,223.4,9.2,4.6,0.4,4.3,10.2,17.8,19.7,10.3,3.0,3.2,3.4,0.8,9.9,28.4,4.1,2.0,2.1,18.4,9.2,2.1,3.8,16.6,0.4,3.7,4.4,10.8,4.0,5.4,0.9,0.1,9.5,0.7,5.5,3.4,8.1,16.1,4.4,64.0,15.5,0.2,0.6,2.3,12.5,11.2,.,.,.,.,0.5,8.8,1.7,1.1,0.3,0.0,.,0.3,.,0.2,.,.,.,.,.,.,38.3,21.1,3.7,2.8,0.4,.,.,10.3,0.0,354.0,2.3,19.7,164.6,108.0,33.7,74.2,18.2,41.3,80.3,53.5,2.7,24.2,72.5,3.5,25.3,5.9,4.2,13.7,1.6,1.1,0.6,4.3,0.7,5.6,5.0,26.4,40.3,23.9,0.0,10.9,12.9,.,0.4,15.9,.,0.2,4.8,5.2,0.6,.,.,.,4.6,14.0,0.8,0.0,0.8,5.7,0.4,6.2,.,0.3,162.3,85.6,47.1,0.5,15.3,1.4,6.0,1.7,0.0,13.8,76.7,13.1,63.3,0.3
BRN,1.4,0.2,0.1,0.0,0.0,0.0,0.0,0.0,.,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,.,.,.,.,.,.,0.0,.,0.0,.,.,.,.,.,.,.,.,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,1.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,.,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,0.0,0.0,0.0,0.0,0.0,.,.,0.0,.,0.4,0.0,0.0,0.2,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,.,0.0,0.0,0.0,0.0,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,.
BGR,107.2,2.5,0.4,0.1,0.0,0.0,0.0,0.0,.,.,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,.,.,.,.,.,.,0.0,0.0,.,.,.,.,.,.,.,.,.,.,0.0,1.8,1.8,0.0,0.0,0.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,101.6,18.2,0.6,0.3,0.0,0.2,0.2,1.3,2.8,0.9,0.2,0.3,0.4,0.1,1.1,3.6,0.3,0.2,0.1,1.4,0.4,0.3,0.4,0.9,0.0,0.5,0.6,0.7,0.2,0.4,0.1,0.0,0.5,0.1,0.3,0.1,0.4,0.7,0.2,1.9,0.3,0.0,0.0,0.2,0.1,0.2,.,.,.,.,0.0,0.1,0.1,0.1,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,4.4,3.8,0.4,0.1,0.1,.,.,0.1,.,67.7,0.2,5.6,34.0,21.7,12.8,8.9,2.5,3.7,3.6,3.2,0.1,0.4,3.1,0.3,1.8,0.5,0.5,0.4,0.3,0.0,0.0,0.3,0.0,0.1,0.2,0.3,1.6,1.4,0.0,0.3,1.1,.,0.0,0.2,.,0.0,0.0,0.0,0.0,.,.,.,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.1,.,0.0,3.2,1.9,0.5,0.1,0.5,0.1,0.2,0.2,.,0.4,1.2,1.1,0.1,.
BFA,157.3,87.5,44.1,1.6,1.1,1.1,0.0,0.0,.,.,0.0,3.4,11.5,1.2,0.6,0.0,0.2,0.3,4.8,0.2,0.6,0.1,0.3,0.0,0.2,16.0,14.6,.,.,0.6,0.0,.,.,0.2,0.0,0.0,.,0.4,0.3,0.0,0.0,.,.,.,0.0,3.6,17.7,17.6,0.0,0.0,2.6,17.1,6.8,5.5,4.1,0.7,6.0,5.1,0.1,.,0.8,0.1,51.6,7.2,0.2,0.1,0.0,0.0,0.1,0.3,0.2,1.4,0.8,0.2,0.3,0.1,0.1,0.2,0.1,0.0,0.0,0.7,1.0,0.1,0.1,0.4,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.0,0.1,1.5,0.3,2.4,1.3,0.0,1.0,0.1,0.3,0.6,.,.,.,.,0.0,0.3,0.3,0.3,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,1.7,0.8,0.0,0.8,0.0,.,.,0.1,.,21.9,0.7,1.7,9.9,5.9,2.4,3.5,0.8,2.8,2.7,1.3,1.1,0.4,6.6,0.9,3.1,1.3,0.4,0.8,0.5,0.3,0.2,1.0,0.1,0.3,0.3,0.6,2.1,1.2,0.0,0.1,1.0,.,0.0,0.8,.,0.1,0.7,0.1,0.0,.,.,.,0.1,3.7,1.1,0.0,0.1,1.5,0.2,0.8,.,0.2,18.3,14.8,5.6,0.6,1.7,1.0,1.6,0.9,.,3.5,3.4,1.7,1.8,.
